Ticker,Company Name,Industry,Market Price,Market Cap,Market Currency,EBIT/Market Cap,ROIC,D/P,Total Debt/Common Equity,Combined_rank
600982.SS,NINGBO ENERGY GROUP CO LTD,Utilities - Regulated Electric,4.59,5163428864.0,CNY,0.04120690798772284,0.020902644837508675,0.0,1.7654884047797657,8901.0
300047.SZ,SHENZHEN TIANYUAN,Software - Infrastructure,12.37,7888905728.0,CNY,0.02716657072340667,0.03316487789442128,0.0,0.9986444913259568,8901.0
300166.SZ,BUSINESS-INTELLIGE,Software - Application,9.92,11296399360.0,CNY,0.007818499540016267,0.01257523962055447,0.0,0.16708024778392186,8901.0
300538.SZ,SHENZHEN TONGYI IN,Specialty Chemicals,14.15,2574153984.0,CNY,0.022539202219691322,0.030880980079031024,0.0028268551236749115,0.7888425840634065,8906.0
002451.SZ,SHANGHAI MORN ELEC,Electrical Equipment & Parts,6.35,2788920064.0,CNY,0.017810207456702438,0.0417625762224047,0.0015748031496062994,0.7532489243658232,8907.0
001236.SZ,HOLLY FUTURES CO L,Capital Markets,8.72,7181426176.0,CNY,0.00451753144917383,0.01510314699316679,0.001146788990825688,0.15289283157119615,8909.0
600460.SS,HANGZHOU SILAN MICROELECTRONICS,Semiconductors,24.95,41518546944.0,CNY,0.01449632311245852,0.03690296841859276,0.0016032064128256513,0.4967694422694016,8912.0
600608.SS,SHANGHAI BROADBAND TECHNOLOGY C,Communication Equipment,3.05,1026047424.0,CNY,0.0023332431074842815,0.04266409824984602,0.0,0.3101653428129405,8916.0
002679.SZ,FUJIAN JINSEN FORE,Lumber & Wood Production,8.48,1999210752.0,CNY,0.029298425676934334,0.03063718022894545,0.0030660377358490564,1.5922143586117081,8916.0
300215.SZ,SUZHOU ELECTRICAL,Specialty Business Services,5.39,4037616640.0,CNY,0.010063406197969303,0.018081835284516838,0.0,0.21789684816353183,8919.0
300427.SZ,RED PHASE INC,Electrical Equipment & Parts,4.89,2486662656.0,CNY,-0.006268978690127543,-0.01243529047386001,0.0,0.034142952720330424,8920.0
000837.SZ,QINCHUAN MACHINE T,Specialty Industrial Machinery,12.52,12612898816.0,CNY,0.008079138602993781,0.01801491587057908,0.0,0.1984587972318691,8922.0
300575.SZ,JIANGSU FLAG CHEMI,Agricultural Inputs,5.97,2774593280.0,CNY,0.016800114271162687,0.014171816621084111,0.008375209380234507,0.6023430797043394,8926.0
000809.SZ,LIAONING HEZHAN EN,Utilities - Renewable,3.65,3010487040.0,CNY,-0.021669259831791198,-0.023887218385123324,0.0,0.008547885668273256,8932.0
