代码,上市公司,行业,市值(元),PE-TTM,PB,股息率,财报日期,复合排名,资本收益率(ROC),资本回报率排名,公司收益率,公司收益率排名,关注度
="300364",中文在线,平面媒体,=15349497486.26,=-58.50430589688472,=17.049950440569535,=0,2025-05-19,=3463,=0,=3568,=-0.016234229724408567,=3530,=221
="002174",游族网络,移动互联网服务,=9333249612.65,=-24.66056188096128,=2.2722748254965106,=0.00009775437686391749,2025-05-19,=3464,=0,=3329,=-0.03916462275756789,=3774,=763
="603189",网达软件,软件开发,=5145677982.41,=511.093334642765,=3.34032681963787,=0.007783485963737242,2025-05-19,=3465,=0,=3894,=-0.00020354124908828196,=3211,=191
="300250",初灵信息,IT服务,=3268810404.33,=-61.04875944732522,=6.29717654776403,=0,2025-05-19,=3466,=0,=3534,=-0.01986796841099556,=3571,=172
="603178",圣龙股份,汽车零部件,=4678591124.99,=-2300.2771119829886,=3.691746697397035,=0.00202122283981809,2025-05-19,=3467,=0,=3891,=-0.00033046621876535074,=3215,=100
="002110",三钢闽光,普钢,=9497688047.57,=-8.667360565209389,=0.4935032761918739,=0,2025-05-19,=3468,=0,=3313,=-0.04222481501567802,=3793,=1206
="300520",科大国创,软件开发,=6670645546.38,=-160.70976311240065,=3.6278750113582423,=0,2025-05-19,=3469,=0,=3611,=-0.014441273304950814,=3496,=290
="301017",漱玉平民,医药商业,=4819644387.74,=-27.74780307105637,=2.5027156248647486,=0,2025-05-19,=3470,=0,=3691,=-0.009945758509128145,=3418,=73
="600185",珠免集团,房地产开发,=12195987493.65,=-8.115247825140797,=11.396074015631187,=0,2025-05-19,=3471,=0,=3756,=-0.005884975073412839,=3355,=349
="300466",赛摩智能,仪器仪表,=5939026679.72,=-66.61564029187457,=8.258761145475932,=0,2025-05-19,=3472,=0,=3599,=-0.015113758496507972,=3513,=139
="300607",拓斯达,其它通用机械,=18411135103.2,=-67.84873984650562,=6.57317884235022,=0,2025-05-19,=3473,=0,=3631,=-0.013695378283921134,=3483,=1432
="301136",招标股份,其他基础建设,=3167607478.2,=-171.9722618126548,=2.1910464179952487,=0,2025-05-19,=3474,=0,=3703,=-0.009724441849412093,=3413,=34
="002386",天原股份,氯碱,=6065675360.18,=-13.33845604996942,=0.8100765473508976,=0,2025-05-19,=3475,=0,=3373,=-0.034975997519920005,=3743,=154
="430047",诺思兰德,生物制品,=4640681800.080001,=-114.16966564224289,=14.346751140869832,=0,2025-05-19,=3476,=0,=3733,=-0.007837435445433402,=3385,=25
="300598",诚迈科技,软件开发,=9879178667.73,=-80.41157960282526,=6.578477565436943,=0,2025-05-19,=3477,=0,=3629,=-0.01412234164585252,=3489,=349
="603086",先达股份,农药,=4004629047.03,=418.0391518217705,=2.0120520738703016,=0,2025-05-19,=3478,=0,=3885,=-0.0010443256683065106,=3234,=187
="002693",*ST双成,化学制剂,=3072851047.5,=-38.60241683068569,=8.015342415527765,=0,2025-05-19,=3479,=0,=3431,=-0.02947607072173957,=3690,=113
="600536",中国软件,IT服务,=38095319205.18,=-99.59182622282496,=19.01877540800236,=0,2025-05-19,=3480,=0,=3798,=-0.004739796541975923,=3326,=796
="000536",华映科技,显示器件,=12696090565.77,=-11.478384715987023,=11.941279797899833,=0,2025-05-19,=3481,=0,=3235,=-0.0632884386437772,=3889,=170
="002122",汇洲智能,机床工具,=8246182369,=-23.851445310374746,=3.9048357478107634,=0,2025-05-19,=3482,=0,=3316,=-0.04471649231675573,=3809,=99
="000626",远大控股,贸易,=3247040160.32,=-11.433832225324066,=1.3748272200042229,=0,2025-05-19,=3483,=0,=3253,=-0.058768224846324706,=3873,=136
="600977",中国电影,影视动漫,=19174090000,=-197.24280459846594,=1.763818524730845,=0.0044790652385589096,2025-05-19,=3484,=0,=3853,=-0.0022179282323637178,=3274,=611
="300810",中科海讯,船舶制造,=3657189000,=-97.13959784691129,=4.612801946536635,=0.0006374343792459181,2025-05-19,=3485,=0,=3667,=-0.012440823371253415,=3460,=65
="002099",海翔药业,化学原料药,=8433506468.13,=-23.848350959777825,=1.63811426940241,=0,2025-05-19,=3486,=0,=3309,=-0.046186414611697334,=3818,=301
="300480",光力科技,冶金矿采化工设备,=4731444962.82,=-42.92892235864541,=3.648601813819368,=0.003728560775540642,2025-05-19,=3487,=0,=3603,=-0.015823411079845796,=3525,=126
="300471",厚普股份,其它专用机械,=3960825388.8,=-71.73823703760509,=3.439582944244658,=0,2025-05-19,=3488,=0,=3601,=-0.016010140318312216,=3527,=167
="600776",东方通信,通信传输设备,=13250800675.2,=-326.7532656448333,=3.8584748768670836,=0.0057819905213270135,2025-05-19,=3489,=0,=3834,=-0.003088367862188058,=3295,=319
="301326",捷邦科技,电子零部件制造,=4346008245.6,=-170.33196153264143,=3.447338621836353,=0.0033040264050436894,2025-05-19,=3490,=0,=3721,=-0.009104531299227314,=3408,=21
="300656",民德电子,其他电子,=4338020575.2,=-53.788970813558414,=4.233816218083132,=0,2025-05-19,=3491,=0,=3640,=-0.014150851636896906,=3490,=105
="002819",东方中科,仪器仪表,=11099281278.15,=-51.526253909215775,=2.741601196644335,=0.0006442934178159636,2025-05-19,=3492,=0,=3449,=-0.02846296464070723,=3681,=175
="002141",*ST贤丰,动物保健,=3191771615.8199997,=-32.35704621822113,=3.821432284479766,=0,2025-05-19,=3493,=0,=3320,=-0.04507446637997165,=3811,=85
="002554",惠博普,油气钻采服务,=3494346588.6400003,=-19.649435799921985,=1.4891086417471817,=0,2025-05-19,=3494,=0,=3403,=-0.03347386948836163,=3730,=133
="300796",贝斯美,农药,=3336960137.28,=-123.55309387492568,=1.9246373365081944,=0,2025-05-19,=3495,=0,=3665,=-0.01284230549236211,=3469,=61
="300571",平治信息,通信配套服务,=4495601632.68,=-41.532457250459395,=3.0873374876622863,=0,2025-05-19,=3496,=0,=3623,=-0.015035244454596659,=3511,=2342
="600110",诺德股份,储能设备,=6125188689.96,=-20.765634796121635,=1.0672523984343039,=0,2025-05-19,=3497,=0,=3744,=-0.008104877358173331,=3391,=362
