Ticker,Company Name,Industry,Market Price,Market Currency,Report Currency,Market Cap,Financial Year End Date,Past Financial Year Dividends,Latest Invested Capital,Latest Total Debt,Latest Total Asset,Latest Common Equity,Past Annual Sales,Past Annual Cogs,Past Annual Opex,Past Annual Net Income,Past Annual Operating Cash Flow,Past Annual Financing Cash Flow,Past Annual Investing Cash Flow
603926.SS,ZHEJIANG TIELIU CLUTCH CO LTD,Auto Parts,9.97,CNY,CNY,2343976960.0,12-31,0.38,1858681663.95,316672895.62,2817803653.51,1667389747.74,2199573142.53,1815896013.17,279878252.34000003,98290454.49,343592253.35,-62747614.64,-172750574.34
603927.SS,SINOSOFT CO LTD,Software - Application,19.39,CNY,CNY,16113864704.0,12-31,0.34,3293540592.41,36871788.63,7687535807.75,3293540592.41,6671233219.66,4941675594.63,1341875574.99,355108191.25,1249135076.93,-352641573.61,-17284481.9
603928.SS,SUZHOU XINGYE MATERIALS TECHNOL,Specialty Chemicals,10.45,CNY,CNY,2775321344.0,12-31,0.129,1627129956.86,98803386.75,1838729264.5,1528326570.11,1500368535.54,1275319387.67,122115475.68,75942003.1,250773283.8,-169817988.66,-22970920.92
603929.SS,L AND K ENGINEERING (SUZHOU) CO,Engineering & Construction,31.85,CNY,CNY,6795515904.0,12-31,1.0,1828684965.39,128461.04,4039585433.57,1828684965.39,5380651966.41,4651371184.16,144587412.60000002,635907950.94,1601712137.23,-270143598.73,3710600.83
603931.SS,HANGZHOU GREENDA ELECTRONIC MAT,Chemicals,29.75,CNY,CNY,6059301376.0,12-31,0.265,1471429747.07,,1678217044.99,1471429747.07,695326649.73,435344947.08,77492019.97,175071418.7,205934427.32,-49889595.0,-91013898.92
603933.SS,FUJIAN RAYNEN TECHNOLOGY CO LTD,Computer Hardware,15.92,CNY,CNY,3304116224.0,12-31,0.13,1741628994.48,525644161.55,2244888494.33,1282143325.8,1849149510.72,1425278180.75,322706650.89000005,59195781.8,145746437.16,10137818.29,-131078349.31
603936.SS,BOMIN ELECTRONICS CO LTD,Electronic Components,7.34,CNY,CNY,4627121664.0,12-31,0.02,6209515193.78,1808596791.14,7972075999.31,4559613077.27,2913308302.34,2629453032.8,312591819.86,-565750945.13,31507874.89,1500040751.31,-1631850277.53
603937.SS,JIANGSU LIDAO NEW MATERIAL CO L,Aluminum,8.74,CNY,CNY,1825619840.0,12-31,0.0,1850778050.48,263228979.95,2526921472.83,1587549070.53,1579120395.09,1476736191.75,92968212.51,-34226497.32,-195829872.75,-21390347.44,188200609.25
603938.SS,TANGSHAN SUNFAR SILICON INDUSTR,Chemicals,13.82,CNY,CNY,5287877120.0,12-31,0.017,2436432761.08,9816422.11,3105380127.91,2426616338.97,1769763442.04,1519973496.17,176771693.57,63778928.19,162677596.86,-381253525.1,260752842.36
603939.SS,YIFENG PHARMACY CHAIN CO LTD,Pharmaceutical Retailers,28.52,CNY,CNY,35284660224.0,12-31,0.667,9938049624.24,3797594257.22,24136539194.64,9804432476.56,22588227402.22,13957598854.74,6496679093.099999,1411985024.41,4623740795.6,-2093039229.23,-2980321075.21
603948.SS,ZHEJIANG JIANYE CHEMICAL CO LTD,Chemicals,17.75,CNY,CNY,2884179712.0,12-31,1.0,2018892884.91,1360039.5,2654131563.98,2018892884.91,2649672781.19,2149836561.98,137411788.12,317683705.73,353634850.83,-312752177.1,-63667727.88
603949.SS,XUELONG GROUP CO LTD,N/A,,CNY,N/A,,N/A,0.0,1016851168.5,10947623.48,1096943566.42,1016851168.5,359950877.72,244152022.58,63882657.29,60409697.97,80704765.9,-69675104.4,7744853.46
603950.SS,XIANGYANG CHANGYUANDONGGU INDUS,Auto Parts,22.52,CNY,CNY,7299430400.0,12-31,0.216,3369845090.85,742312660.95,5083436590.1,2683675378.07,1919686181.63,1478170091.2,146320938.87,230367231.7,362998281.25,107459989.63,-419540100.48
603955.SS,DAQIAN ECOLOGY & ENVIRONMENT GR,Engineering & Construction,21.46,CNY,CNY,3003777792.0,12-31,0.05,1853401277.83,379317726.55,2538272889.88,1562801277.83,114678525.43,77613276.67,56912622.67,29134556.54,212764140.11,-346509813.97,49068448.85
603956.SS,WPG (SHANGHAI)SMART WATER PUBLI,Specialty Industrial Machinery,6.47,CNY,CNY,3687291648.0,12-31,0.1,2475537076.06,463128284.83,3339324118.51,2029071334.2,1417200519.75,697890193.82,687732928.4899999,23337578.67,24961261.17,-167529451.84,-59776211.56
603958.SS,HARSON TRADING (CHINA) CO LTD,Footwear & Accessories,17.62,CNY,CNY,3865123328.0,12-31,0.0,803396071.5,1693535.33,972031548.03,803396071.5,811887920.62,365380282.04,425046649.96999997,-5330845.08,75085960.79,-56545118.25,-26380391.43
603959.SS,HUNAN BAILI ENGINEERING SCI & T,Engineering & Construction,3.58,CNY,CNY,1755270400.0,12-31,0.0,1185994380.16,663283815.75,4045101591.51,539917238.19,2069101995.78,1825772909.59,289341283.4,-117967368.25,-202555804.85,40031390.63,-30264352.87
603960.SS,SHANGHAI KELAI MECHATRONICS ENG,Specialty Industrial Machinery,17.93,CNY,CNY,4716020224.0,12-31,0.134,1085829068.85,,1257409651.49,1085829068.85,688219310.11,508517997.07,88980656.50999999,92467986.4,176764636.73,-59925454.56,-37597807.85
603966.SS,EUROCRANE (CHINA) CO LTD,Specialty Industrial Machinery,8.82,CNY,CNY,3176143616.0,12-31,0.23,2052609384.57,582081511.2,3478303546.25,1540839597.98,1992074203.75,1513672265.74,260318968.73,163358821.35,342207940.37,-100848153.34,-274814998.41
603967.SS,CHINA MASTER LOGISTICS CO LTD,Integrated Freight & Logistics,12.63,CNY,CNY,4585599488.0,12-31,0.6,2701325809.94,555338206.93,4451636653.05,2356695591.4,11840396104.94,11229983131.07,214448808.99,252698368.77,482456678.11,-203825063.74,-155225960.45
